gene_symbol	inheritance	prevalence	allelic_het	genetic_het	penetrance	bs1_threshold	bs1_strength	bs1_exclude	ba1_threshold	af_basis	pm2_threshold	pm2_strength	pm2_basis	pm2_subpop	pm2_zygosity	pm2_subset	pm2_min_depth	pm4	pm4_supporting_max_aa	pp2	pp2_requires	pm5_grantham	pm5_excludes	pm5_max	pm5_lp	bs2	bs2_count	bs2_strength	bs2_female_only	bs2_hom_only	pvs1	ps1	ps1_splice	ps1_max	ps1_paralog_group	ps1_paralog_strength	bp1	bp1_target	bp1_exclude	bp1_strength	bp1_no_splice	bp3	bp3_regions	bp7_phylop	bp7_intronic	bp4_splice_cutoff	bp7_splice_cutoff	revel_pp3_supporting	revel_pp3_moderate	revel_pp3_strong	revel_bp4_supporting	revel_bp4_moderate	revel_bp4_strong	source_vcep	cspec_url	notes
SLC26A4						0.003	Strong		0.005		0.00002							applicable		not_applicable				Strong	no	not_applicable					applicable	applicable	canonical				not_applicable					applicable						0.7			0.15			Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
SLC6A8	XL					0.0002	Strong		0.002		0.00002		faf		homhemi:0			applicable		not_applicable				Moderate		not_applicable					applicable	applicable	canonical				not_applicable					not_applicable			donor:7,acceptor:-4			0.75			0.2			Cerebral Creatine Deficiency Syndromes Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN027	GN027 Released
SLC9A6	XL					0.0000083	Strong		0.000083		0							applicable	2	not_applicable		ge		Strong	no	not_applicable					applicable	applicable					not_applicable					applicable		0.1				0.664			0.29			Rett and Angelman-like Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN033	GN033 Released; multiple specs (gene-specific kept)
SOD1																																																						Amyotrophic Lateral Sclerosis Spectrum Disorders Variant Curation Expert Panel 	https://cspec.genome.network/cspec/ui/svi/svi/GN132	GN132 Classification Rules Submitted
SORD	AR																																																					Charcot-Marie-Tooth Disease Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN145	GN145 Pilot Rules In Prep
SOS1	AD					0.00025	Strong		0.0005		0							applicable		not_applicable			PM1	Strong	no	not_applicable					not_applicable	applicable			SOS2		applicable	truncating				not_applicable			noncanonical			0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN041	GN041 Released; multiple specs (gene-specific kept)
SOS2	AD					0.00025	Strong		0.0005		0							applicable		not_applicable			PM1	Strong	no	not_applicable					not_applicable	applicable			SOS1		applicable	truncating				not_applicable			noncanonical			0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN042	GN042 Released; multiple specs (gene-specific kept)
SPRED1	AD																																																					Neurofibromatosis and Schwannomatosis Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN174	GN174 Pilot Rules In Prep
TCF4	AD					0.0000083	Strong		0.000083		0							applicable	2	not_applicable		ge		Strong	no	not_applicable					applicable	applicable					not_applicable					applicable		0.1				0.644			0.29			Rett and Angelman-like Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN032	GN032 Released; multiple specs (gene-specific kept)
TECTA						0.003	Strong		0.005		0.00002							applicable		not_applicable				Strong	no	not_applicable					applicable	applicable	canonical				not_applicable					applicable						0.7			0.15			Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
TNNI3	AD					0.0001	Strong		0.001		0.00004		faf	ci95				applicable		not_applicable			PM1	Moderate		not_applicable					not_applicable	applicable					not_applicable					not_applicable			donor:7,acceptor:-4			0.7			0.4			Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN098	GN098 Released
TNNT2	AD					0.0001	Strong		0.001		0.00004		faf	ci95				applicable		not_applicable			PM1	Moderate		not_applicable					not_applicable	applicable					not_applicable					not_applicable			donor:7,acceptor:-4			0.7			0.4			Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN099	GN099 Released
TP53	AD					0.0003	Strong		0.001		0.00003							not_applicable		not_applicable				Strong		not_applicable					applicable	applicable					not_applicable					not_applicable		na		0.2								TP53 Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN009	GN009 Released
TPM1	AD					0.0001	Strong		0.001		0.00004		faf	ci95				applicable		applicable			PM1	Moderate		not_applicable					not_applicable	applicable					not_applicable					not_applicable			donor:7,acceptor:-4			0.7			0.4			Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN100	GN100 Released
UBE3A	AD					0.0000083	Strong		0.000083		0							applicable	2	not_applicable		ge		Strong	no	not_applicable					applicable	applicable					not_applicable					applicable		0.1				0.644			0.29			Rett and Angelman-like Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN037	GN037 Released; multiple specs (gene-specific kept)
USH2A						0.003	Strong		0.005		0.00002							applicable		not_applicable				Strong	no	not_applicable					applicable	applicable	canonical				not_applicable					applicable						0.7			0.15			Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
VHL	AD					0.0000156	Strong		0.000156		0.00000156		faf					applicable		not_applicable		ge		Moderate	no	not_applicable					applicable	applicable					not_applicable					applicable	14-48	0.2	noncanonical			0.664						VHL Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN078	GN078 Released
VWF	AD					0.01	Strong		0.1		0.0001							applicable		not_applicable				Moderate		not_applicable					not_applicable	applicable					not_applicable					not_applicable						0.644			0.29			von Willebrand Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN081	GN081 Released; multiple specs
