gene	inheritance
CACNA1G	AD
CACNA1H	AD
CACNA1I	AD
CACNA1S	AD
CACNA2D2	AR
CACNA2D4	AR
CACNB2	AD
CACNB4	AD
CACNG2	AD
CAD	AR
CADM3	AD
CALCRL	AR
CALM1	AD
CALM2	AD
CALM3	AD
CALR3	AD
CAMK2A	AD/AR
CAMK2B	AD
CAMK2G	AR
CAMLG	AR
CAMSAP1	AR
CAMTA1	AD
CANT1	AR
CAP2	AR
CAPN1	AR
CAPN15	AR
CAPN3	AD/AR
CAPN5	AD
CAPNS1	AR
CAPRIN1	AD
CARD10	AR
CARD11	AD/AR
CARD14	AD
CARD8	AD
CARD9	AR
CARMIL2	AR
CARS1	AR
CARS2	AR
CASK	XL
CASP10	AD
CASP14	AR
CASP2	AR
CASP8	AR
CASQ1	AD
CASQ2	AR
CASR	AD/AR
CAST	AR
CAT	AR
CATIP	AR
CATSPER1	AR
CAV1	AD/AR
CAV3	AD
CAVIN1	AR
CBFB	AD
CBL	AD
CBLB	AR
CBLIF	AR
CBS	AR
CBX2	AR
CC2D1A	AR
CC2D2A	AR
CCBE1	AR
CCDC103	AR
CCDC115	AR
CCDC134	AR
CCDC137	AD
CCDC146	AR
CCDC174	AR
CCDC22	XL
CCDC28B	AD
CCDC32	AR
CCDC34	AR
CCDC39	AR
CCDC40	AR
CCDC47	AR
CCDC50	AD
CCDC62	AR
CCDC65	AR
CCDC78	AD
CCDC8	AR
CCDC88A	AR
CCDC88C	AD/AR
CCIN	AR
CCM2	AD
CCN2	AD/AR
CCN6	AR
CCND2	AD
CCNF	AD
CCNK	AD
CCNO	AR
CCNQ	XL
CCR2	AR
CCT3	AD
CCT5	AR
CD164	AD
CD19	AR
CD207	AD
CD247	AR
CD27	AR
CD28	AR
CD2AP	AR
CD320	AR
CD36	AR
CD3D	AR
CD3E	AR
CD3G	AR
CD4	AR
CD40	AR
CD40LG	XL
CD46	AD/AR
CD55	AR
CD59	AR
CD70	AR
CD79A	AR
CD79B	AR
CD81	AR
CD8A	AR
CD96	AD
CDAN1	AR
CDC14A	AR
CDC20	AR
CDC42	AD
CDC42BPB	AD
CDC45	AR
CDC6	AR
CDC73	AD
CDCA7	AR
CDH1	AD
CDH11	AD/AR
CDH15	AD
CDH2	AD
CDH23	AD/AR
CDH3	AR
CDHR1	AR
CDIN1	AR
CDK10	AR
CDK13	AD
CDK19	AD
CDK4	AD
CDK5	AR
CDK5RAP2	AR
CDK6	AR
CDK8	AD
CDKL5	XL
CDKN1B	AD
CDKN1C	AD
CDKN2A	AD
CDON	AD
CDSN	AD/AR
CDT1	AR
CEACAM16	AD/AR
CEBPA	AD
CEBPE	AR
CEL	AD
CELA2A	AD
CELF2	AD
CELSR1	AD
CENPE	AR
CENPF	AR
CENPJ	AR
CENPT	AR
CEP104	AR
CEP112	AR
CEP120	AR
CEP135	AR
CEP152	AR
CEP164	AR
CEP19	AR
CEP250	AR
CEP290	AR
CEP295	AR
CEP41	AR
CEP55	AR
CEP57	AR
CEP63	AR
CEP78	AR
CEP83	AR
CEP85L	AD
CERKL	AR
CERS1	AR
CERS3	AR
CERT1	AD
CES1	AD/AR
CETP	AD/AR
CFAP251	AR
CFAP298	AR
CFAP300	AR
CFAP410	AR
CFAP43	AR
CFAP44	AR
CFAP45	AR
CFAP47	XL
CFAP52	AR
CFAP53	AR
CFAP57	AD
CFAP58	AR
CFAP61	AR
CFAP65	AR
CFAP69	AR
CFAP70	AR
CFAP74	AR
CFAP91	AR
CFB	AD/AR
CFC1	AD
CFD	AR
CFH	AD/AR
CFHR1	AD/AR
CFHR3	AD/AR
CFHR4	AD/AR
CFHR5	AD
CFI	AD/AR
CFL2	AR
CFP	XL
CFTR	AR
CHAMP1	AD
CHASERR	AD
CHAT	AR
CHCHD10	AD
CHCHD2	AD
CHD1	AD
CHD2	AD
CHD3	AD
CHD4	AD
CHD5	AD
CHD7	AD
CHD8	AD
CHEK1	AD
CHEK2	AD/AR
CHIT1	AR
CHKA	AR
CHKB	AR
CHM	XL
CHMP1A	AR
CHMP2B	AD
CHMP4B	AD
CHN1	AD
CHP1	AR
CHRDL1	XL
CHRM3	AR
CHRNA1	AD/AR
CHRNA2	AD
CHRNA3	AR
CHRNA4	AD
CHRNA7	AD
CHRNB1	AD/AR
CHRNB2	AD
CHRND	AD/AR
CHRNE	AD/AR
CHRNG	AR
CHST11	AR
CHST14	AR
CHST3	AR
CHST6	AR
CHST8	AD
CHSY1	AR
CHUK	AR
CIAO1	AR
CIB1	AR
CIB2	AR
CIBAR1	AR
CIC	AD
CIDEC	AR
CIITA	AR
CILK1	AD/AR
CIROP	AR
CIROZ	AR
CISD2	AR
CIT	AR
CITED2	AD
CIZ1	AD
CKAP2L	AR
CLAM	AR
CLCC1	AR
CLCF1	AR
CLCN1	AD/AR
CLCN2	AD
CLCN3	AD/AR
CLCN4	XL
CLCN5	XL
CLCN6	AD
CLCN7	AD/AR
CLCNKA	AR
CLCNKB	AR
CLDN1	AR
CLDN10	AR
CLDN11	AR
CLDN14	AR
CLDN16	AR
CLDN19	AR
CLDN2	XL
CLDN9	AR
CLEC3B	AD
CLEC7A	AR
CLIC2	XL
CLIC5	AR
CLMP	AR
CLN3	AR
CLN5	AR
CLN6	AR
CLN8	AR
CLP1	AR
CLPB	AD/AR
CLPP	AR
CLPX	AD
CLRN1	AR
CLRN2	AR
CLTC	AD
CLXN	AR
CMPK2	AR
CNBP	AD
CNGA1	AR
CNGA3	AR
CNGB1	AR
CNGB3	AR
CNKSR2	XL
CNNM2	AR
CNNM4	AR
CNOT1	AD
CNOT2	AD
CNOT3	AD
CNP	AR
CNPY3	AR
CNTN1	AR
CNTN2	AR
CNTNAP1	AR
CNTNAP2	AR
COA3	AR
COA5	AR
COA6	AR
COA7	AR
COA8	AR
COASY	AR
COCH	AR
COG1	AR
COG2	AR
COG3	AR
COG4	AR
COG5	AR
COG6	AR
COG7	AR
COG8	AR
COL10A1	AD
COL11A1	AD/AR
COL11A2	AD/AR
COL12A1	AD/AR
COL13A1	AR
COL17A1	AD/AR
COL18A1	AD/AR
COL1A1	AD
COL1A2	AD/AR
COL25A1	AR
COL27A1	AR
COL2A1	AD
COL3A1	AD/AR
COL4A1	AD
COL4A2	AD
