gene_symbol	inheritance	prevalence	allelic_het	genetic_het	penetrance	bs1_threshold	ba1_threshold	af_basis	pp2	pp2_requires	pm5_grantham	pm5_excludes	pm5_max	pm5_lp	bs2	ps1	ps1_splice	source_vcep	cspec_url	notes
JAK3	AR					0.001	0.00447		not_applicable						applicable	applicable	noncanonical	Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN121	GN121 Released
KCNQ1	AD,AR					0.0004	0.004		not_applicable					no	applicable	applicable	noncanonical	Potassium Channel Arrhythmia Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN112	GN112 Released
KCNQ4						0.003	0.005		not_applicable					no	applicable	applicable	noncanonical	Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
KRAS	AD					0.00025	0.0005		not_applicable			PM1		no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN044	GN044 Released; multiple specs (gene-specific kept)
LDLR						0.002	0.005		not_applicable					no	applicable	applicable	noncanonical	Familial Hypercholesterolemia Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN013	GN013 Released
LZTR1	AD,AR					0.00025	0.0005		not_applicable					no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN094	GN094 Released
MAP2K1	AD					0.00025	0.0005		applicable			PM1		no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN045	GN045 Released; multiple specs (gene-specific kept)
MAP2K2	AD					0.00025	0.0005		not_applicable			PM1		no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN048	GN048 Released; multiple specs (gene-specific kept)
MECP2	XL					0.0000083	0.000083		not_applicable		ge			no	applicable	applicable		Rett and Angelman-like Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN036	GN036 Released; multiple specs (gene-specific kept)
MLH1	AD,AR					0.0001	0.001		not_applicable						applicable	applicable	noncanonical	InSiGHT Hereditary Colorectal Cancer/Polyposis Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN115	GN115 Released
MRAS	AD					0.00025	0.0005		not_applicable					no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN087	GN087 Released
MSH2	AD,AR					0.0001	0.001		not_applicable						applicable	applicable	noncanonical	InSiGHT Hereditary Colorectal Cancer/Polyposis Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN137	GN137 Released
MSH6	AD,AR					0.00022	0.0022		not_applicable						applicable	applicable	noncanonical	InSiGHT Hereditary Colorectal Cancer/Polyposis Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN138	GN138 Released
MTM1	XL					0.0000016	0.000016		not_applicable						applicable	applicable		Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN149	GN149 Released
MTOR						0.000185	0.000926		applicable					no	applicable	applicable		Brain Malformations Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN018	GN018 Released
MYBPC3	AD					0.0002	0.001		not_applicable			PM1			not_applicable	applicable		Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN095	GN095 Released
MYH7	AD					0.0001	0.001		not_applicable			PM1			not_applicable	applicable		Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN002	GN002 Released
MYL2	AD					0.0001	0.001		not_applicable			PM1			not_applicable	applicable		Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN102	GN102 Released
MYL3	AD					0.0001	0.001		not_applicable			PM1			not_applicable	applicable		Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN103	GN103 Released
MYO15A						0.003	0.005		not_applicable					no	applicable	applicable	noncanonical	Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN023	GN023 Released
MYO6						0.003	0.005		not_applicable					no	applicable	applicable	noncanonical	Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
MYO7A						0.003	0.005		not_applicable					no	applicable	applicable	noncanonical	Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
MYOC	AD					0.001	0.01		not_applicable						not_applicable	applicable		Glaucoma Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN019	GN019 Released
NEB	AR					0.000237	0.00559		not_applicable						applicable	applicable		Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN146	GN146 Released
NRAS	AD					0.00025	0.0005		not_applicable			PM1		no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN039	GN039 Released; multiple specs (gene-specific kept)
OTC	XL					0.002	0.01	males	not_applicable						applicable	applicable		Urea Cycle Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN156	GN156 Released
OTOF						0.003	0.005		not_applicable					no	applicable	applicable	noncanonical	Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN023	GN023 Released
PAH						0.002	0.015		not_applicable						applicable	applicable	noncanonical	Phenylketonuria Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN006	GN006 Released
PALB2	AD,AR					0.0001	0.001		not_applicable				Supporting		applicable	applicable	noncanonical	Hereditary Breast, Ovarian and Pancreatic Cancer Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN077	GN077 Released
PDHA1						0.000092	0.00092		not_applicable					no	applicable	applicable		Mitochondrial Diseases Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN014	GN014 Released
PIK3CA						0.000185	0.000926		applicable					no	applicable	applicable		Brain Malformations Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN018	GN018 Released
PIK3CD	AD					0.000316	0.00316		not_applicable		ge				not_applicable	applicable	noncanonical	Antibody Deficiencies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN141	GN141 Released; BS1: multiple cutoffs in desc — verify
PIK3R1	AD					0.000316	0.00316		not_applicable		gt				not_applicable	applicable	canonical	Antibody Deficiencies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN160	GN160 Released; BS1: multiple cutoffs in desc — verify
PIK3R2						0.000185	0.000926		not_applicable					no	applicable	applicable		Brain Malformations Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN018	GN018 Released
PMS2	AD,AR					0.00028	0.0028		not_applicable						applicable	applicable	noncanonical	InSiGHT Hereditary Colorectal Cancer/Polyposis Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN139	GN139 Released
POLG						0.005	0.01		not_applicable					no	applicable	applicable		Mitochondrial Diseases Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN014	GN014 Released
PPP1CB	AD					0.00025	0.0005		applicable					no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN128	GN128 Released
PTEN	AD					0.000043	0.00056		applicable					no	applicable	applicable	noncanonical	PTEN Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN003	GN003 Released; BS1: multiple cutoffs in desc — verify
PTPN11	AD					0.00025	0.0005		applicable			PM1		no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN043	GN043 Released; multiple specs (gene-specific kept)
RAF1	AD					0.00025	0.0005		not_applicable			PM1		no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN040	GN040 Released; multiple specs (gene-specific kept)
RAG1	AR					0.00195	0.00872		not_applicable						applicable	applicable	noncanonical	Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN123	GN123 Released
RAG2	AR					0.00195	0.00872		not_applicable						applicable	applicable	noncanonical	Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN124	GN124 Released
RIT1	AD					0.00025	0.0005		not_applicable			PM1		no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN047	GN047 Released; multiple specs (gene-specific kept)
RMRP	AR					0.00089	0.004		not_applicable						applicable	applicable		Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN088	GN088 Released
