GN	version	status	genes	n_codes	label
GN150	2.0.0	Released	RYR1	28	ClinGen Congenital Myopathies Expert Panel Specifications to the ACMG/AMP Variant Interpre
GN156	1.0.0	Released	OTC	28	ClinGen Urea Cycle Disorders Expert Panel Specifications to the ACMG/AMP Variant Interpret
GN158	1.0.0	Released	GALT	28	ClinGen Galactosemia Expert Panel Specifications to the ACMG/AMP Variant Interpretation Gu
GN160	1.0.0	Released	PIK3R1	28	ClinGen Antibody Deficiencies Expert Panel Specifications to the ACMG/AMP Variant Interpre
GN164	1.0.0	Pilot Rules In Prep	ABCA4	28	ClinGen ABCA4 Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guideline
GN167	1.0.0	Released	GUCY2D	28	ClinGen Leber Congenital Amaurosis/early onset Retinal Dystrophy Expert Panel Specificatio
GN169	1.0.0	Released	ACTA1	28	ClinGen Congenital Myopathies Expert Panel Specifications to the ACMG/AMP Variant Interpre
GN170	1.0.0	Released	HBB	28	ClinGen Hemoglobinopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretatio
GN173	1.0.0	Released	HBA2	28	ClinGen Hemoglobinopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretatio
GN179	2.0.0	Released	RYR1	28	ClinGen Congenital Myopathies Expert Panel Specifications to the ACMG/AMP Variant Interpre
GN180	2.0.0	Released	DYSF	28	ClinGen Limb Girdle Muscular Dystrophy Expert Panel Specifications to the ACMG/AMP Variant
GN184	2.0.0	Released	SGCB	28	ClinGen Limb Girdle Muscular Dystrophy Expert Panel Specifications to the ACMG/AMP Variant
GN185	2.0.0	Released	SGCG	28	ClinGen Limb Girdle Muscular Dystrophy Expert Panel Specifications to the ACMG/AMP Variant
GN186	2.0.0	Released	SGCD	28	ClinGen Limb Girdle Muscular Dystrophy Expert Panel Specifications to the ACMG/AMP Variant
GN187	2.0.0	Released	CAPN3	28	ClinGen Limb Girdle Muscular Dystrophy Expert Panel Specifications to the ACMG/AMP Variant
GN188	2.0.0	Released	ANO5	28	ClinGen Limb Girdle Muscular Dystrophy Expert Panel Specifications to the ACMG/AMP Variant
GN189	2.0.0	Released	SGCA	28	ClinGen Limb Girdle Muscular Dystrophy Expert Panel Specifications to the ACMG/AMP Variant
GN208	1.0.0	Released	AIPL1	28	ClinGen Leber Congenital Amaurosis/early onset Retinal Dystrophy Expert Panel Specificatio
